SERIALNO,NP,TYPE,ACR,BDSP,BLD,ELEP,FULP,GASP,HFL,RMSP,TEN,VALP,YBL,R18,R60
3051,1,1,House on less than one acre,2,One-family house attached,130,2,3,Electricity,3,Rented,NA,1939 or earlier,none,1 or more
3179,2,1,House on one to less than ten acres,2,Mobile home or trailer,60,200,3,Wood,4,Rented,NA,1970 to 1979,none,1 or more
3339,2,1,House on less than one acre,2,Mobile home or trailer,80,2,3,Electricity,4,Owned free and clear,7000,1970 to 1979,none,1 or more
3358,4,1,House on less than one acre,3,One-family house detached,90,2,30,"Bottled, tank, or LP gas",5,Owned with mortgage or loan,250000,1939 or earlier,1 or more,none
3424,2,1,House on less than one acre,5,One-family house detached,250,2,80,Utility gas,11,Owned with mortgage or loan,475000,1950 to 1959,none,1 or more
3429,1,1,House on less than one acre,2,Mobile home or trailer,40,2,3,Electricity,6,Owned free and clear,7000,1970 to 1979,none,1 or more
3588,5,1,House on less than one acre,7,One-family house detached,540,2,120,Utility gas,16,Owned with mortgage or loan,800000,2007,1 or more,none
3805,1,1,NA,2,20-49 Apartments,30,2,3,Electricity,3,Rented,NA,2005,none,1 or more
4183,2,1,House on less than one acre,3,One-family house detached,230,2,30,Utility gas,6,Owned with mortgage or loan,575000,1990 to 1999,none,1 or more
4309,2,1,House on less than one acre,3,One-family house detached,110,60,90,Utility gas,7,Owned free and clear,1000000,1990 to 1999,none,1 or more
4342,2,1,NA,1,5-9 Apartments,60,2,3,Electricity,3,Rented,NA,1980 to 1989,1 or more,none
4415,4,1,House on one to less than ten acres,0,One-family house detached,220,2,140,Utility gas,1,Owned free and clear,570000,1980 to 1989,none,none
4423,2,1,House on less than one acre,4,One-family house detached,180,2,3,Electricity,6,Owned free and clear,220000,1980 to 1989,none,1 or more
4454,1,1,House on less than one acre,4,One-family house detached,110,2,120,Utility gas,10,Owned with mortgage or loan,345000,1939 or earlier,none,1 or more
4848,3,1,House on less than one acre,3,One-family house detached,100,1500,3,Electricity,10,Owned with mortgage or loan,160000,1970 to 1979,1 or more,1 or more
4968,3,1,NA,2,10-19 Apartments,140,2,3,Electricity,6,Rented,NA,1990 to 1999,1 or more,none
5049,2,1,House on less than one acre,2,One-family house detached,120,2,3,Electricity,5,Owned with mortgage or loan,40000,1939 or earlier,none,none
5089,2,1,House on one to less than ten acres,2,One-family house detached,90,2,3,Electricity,5,Occupied without payment of rent,NA,1950 to 1959,none,1 or more
5094,2,1,House on less than one acre,2,One-family house detached,50,2,40,Utility gas,5,Owned with mortgage or loan,129000,1960 to 1969,none,1 or more
5270,1,1,NA,1,10-19 Apartments,100,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
5522,2,1,House on less than one acre,3,One-family house detached,110,2,60,Utility gas,6,Owned with mortgage or loan,200000,1980 to 1989,none,none
5542,1,1,NA,1,5-9 Apartments,70,2,3,Electricity,3,Rented,NA,1970 to 1979,none,1 or more
5569,3,1,House on less than one acre,3,One-family house detached,150,600,170,Utility gas,7,Owned with mortgage or loan,300000,1970 to 1979,1 or more,none
5708,2,1,House on less than one acre,3,Mobile home or trailer,70,2,3,Electricity,6,Owned free and clear,160000,1990 to 1999,none,1 or more
5826,1,1,House on one to less than ten acres,3,One-family house detached,130,2,50,Utility gas,8,Owned with mortgage or loan,450000,1990 to 1999,none,1 or more
5845,2,1,House on one to less than ten acres,2,One-family house detached,90,2,3,Electricity,5,Owned free and clear,150000,1940 to 1949,none,1 or more
5869,4,1,House on less than one acre,4,One-family house detached,50,2,70,Utility gas,7,Owned with mortgage or loan,265000,1970 to 1979,1 or more,none
5916,5,1,House on one to less than ten acres,4,One-family house detached,150,2,50,Wood,8,Owned free and clear,225000,2012,1 or more,none
5985,1,1,House on less than one acre,3,Mobile home or trailer,190,2,3,Electricity,5,Rented,NA,1970 to 1979,none,1 or more
5990,1,1,House on less than one acre,3,One-family house detached,50,2,30,Utility gas,4,Owned free and clear,350000,1990 to 1999,none,1 or more
6064,1,1,House on one to less than ten acres,3,One-family house detached,50,50,3,Wood,7,Owned with mortgage or loan,145000,1990 to 1999,none,1 or more
6200,3,1,NA,3,2 Apartments,80,2,3,Electricity,6,Rented,NA,1950 to 1959,none,none
6222,2,1,House on one to less than ten acres,3,One-family house detached,110,1000,3,Wood,5,Owned free and clear,1100000,2000 to 2004,none,1 or more
6285,2,1,House on one to less than ten acres,3,One-family house detached,200,2,3,Electricity,5,Owned with mortgage or loan,275000,2005,none,1 or more
6563,1,1,House on less than one acre,2,One-family house attached,40,2,10,Utility gas,5,Owned free and clear,110000,2000 to 2004,none,1 or more
6579,1,1,House on one to less than ten acres,3,One-family house detached,120,2,3,Electricity,5,Owned free and clear,380000,1960 to 1969,none,1 or more
6859,4,1,House on less than one acre,4,One-family house detached,50,2,20,Utility gas,7,Owned with mortgage or loan,420000,2000 to 2004,1 or more,none
6871,2,1,House on less than one acre,2,One-family house detached,540,300,3,Wood,9,Occupied without payment of rent,NA,1960 to 1969,none,none
7002,2,1,House on less than one acre,4,One-family house detached,70,2,130,Utility gas,16,Owned free and clear,700000,1939 or earlier,none,1 or more
7043,3,1,NA,2,50 or more apartments,60,2,3,Electricity,4,Rented,NA,2007,1 or more,none
7108,1,1,NA,0,10-19 Apartments,60,2,3,Electricity,1,Rented,NA,2007,none,1 or more
7419,3,1,NA,3,50 or more apartments,90,2,3,Electricity,6,Rented,NA,2013,1 or more,none
7526,4,1,House on less than one acre,4,One-family house detached,150,2,3,Electricity,7,Owned with mortgage or loan,200000,1970 to 1979,none,none
7628,2,1,House on one to less than ten acres,3,One-family house detached,120,1000,20,"Bottled, tank, or LP gas",8,Owned free and clear,850000,1980 to 1989,none,1 or more
7784,1,1,NA,2,5-9 Apartments,70,2,3,Electricity,3,Rented,NA,1960 to 1969,none,none
7878,3,1,House on less than one acre,3,One-family house detached,170,2,130,Utility gas,5,Owned with mortgage or loan,325000,1990 to 1999,1 or more,none
7901,3,1,House on less than one acre,4,One-family house detached,60,2,120,Utility gas,7,Owned with mortgage or loan,400000,2012,1 or more,none
7982,2,1,NA,2,3-4 Apartments,110,2,3,Electricity,4,Rented,NA,1990 to 1999,none,1 or more
8019,1,1,NA,2,20-49 Apartments,70,2,10,Utility gas,4,Owned with mortgage or loan,200000,1980 to 1989,none,1 or more
8081,2,1,House on less than one acre,3,One-family house detached,30,100,80,Utility gas,7,Owned with mortgage or loan,500000,1939 or earlier,none,none
8096,5,1,House on less than one acre,3,One-family house detached,200,2,3,Electricity,5,Owned free and clear,150000,1939 or earlier,1 or more,none
8097,3,1,House on less than one acre,3,One-family house detached,90,2,10,Electricity,5,Owned with mortgage or loan,200000,1939 or earlier,1 or more,none
8104,2,1,House on one to less than ten acres,3,Mobile home or trailer,120,2,3,Wood,7,Owned free and clear,20000,1990 to 1999,none,1 or more
8286,4,1,House on less than one acre,3,One-family house detached,150,2,3,Electricity,5,Rented,NA,1990 to 1999,1 or more,none
8396,1,1,NA,1,3-4 Apartments,90,2,90,Utility gas,3,Rented,NA,1960 to 1969,none,1 or more
8628,2,1,House on less than one acre,3,One-family house detached,60,2,80,Utility gas,5,Owned with mortgage or loan,400000,1939 or earlier,none,none
8659,3,1,House on less than one acre,3,One-family house detached,160,2,50,Utility gas,5,Rented,NA,1939 or earlier,none,none
8701,2,1,House on less than one acre,4,One-family house detached,350,2,130,Utility gas,8,Owned with mortgage or loan,2476000,1939 or earlier,none,1 or more
8714,4,1,House on less than one acre,3,One-family house detached,90,2,30,Utility gas,7,Owned with mortgage or loan,400000,1939 or earlier,1 or more,none
8726,1,1,House on one to less than ten acres,3,Mobile home or trailer,180,2,3,No fuel used,10,Owned with mortgage or loan,200000,1990 to 1999,none,1 or more
8727,6,1,House on less than one acre,3,One-family house detached,300,2,3,Electricity,7,Owned with mortgage or loan,200000,1980 to 1989,1 or more,none
8739,1,1,House on less than one acre,3,One-family house detached,70,2,3,Electricity,6,Rented,NA,2000 to 2004,none,none
8789,2,1,House on less than one acre,3,One-family house detached,180,500,3,Other fuel,5,Owned with mortgage or loan,140000,1990 to 1999,none,none
9053,2,1,House on less than one acre,2,One-family house detached,90,2,140,Utility gas,5,Owned free and clear,70000,1939 or earlier,none,1 or more
9192,1,1,House on less than one acre,2,One-family house attached,120,2,3,Electricity,4,Rented,NA,1970 to 1979,none,1 or more
9451,6,1,House on less than one acre,3,One-family house detached,170,940,80,Utility gas,6,Owned free and clear,25000,1960 to 1969,1 or more,1 or more
9561,2,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,6,Owned free and clear,325000,1990 to 1999,none,1 or more
9600,1,1,NA,2,2 Apartments,60,160,3,Wood,4,Rented,NA,1990 to 1999,none,none
9619,2,1,House on one to less than ten acres,4,One-family house detached,80,2,10,Utility gas,8,Owned free and clear,400000,1950 to 1959,none,1 or more
9749,5,1,House on less than one acre,5,One-family house detached,100,2,30,Electricity,8,Owned with mortgage or loan,300000,1939 or earlier,1 or more,1 or more
10020,2,1,House on less than one acre,3,One-family house detached,80,2,60,Utility gas,5,Owned with mortgage or loan,180000,1970 to 1979,none,1 or more
10024,3,1,House on less than one acre,3,One-family house detached,50,2,130,Utility gas,5,Owned with mortgage or loan,270000,1980 to 1989,1 or more,none
10051,3,1,House on less than one acre,3,One-family house detached,180,2,3,Electricity,6,Owned with mortgage or loan,150000,1970 to 1979,1 or more,none
10112,1,1,House on less than one acre,3,One-family house detached,160,2,140,Utility gas,6,Rented,NA,2009,none,1 or more
10119,3,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,7,Owned with mortgage or loan,175000,1970 to 1979,none,1 or more
10307,1,1,House on one to less than ten acres,3,One-family house detached,70,2500,3,"Fuel oil, kerosene, etc.",11,Owned free and clear,498000,1960 to 1969,none,1 or more
10310,3,1,NA,2,50 or more apartments,130,2,3,Electricity,3,Rented,NA,1970 to 1979,none,none
10445,1,1,House on ten or more acres,4,One-family house detached,90,120,3,Wood,9,Owned free and clear,150000,1940 to 1949,none,1 or more
10461,4,1,House on less than one acre,4,One-family house detached,120,2,120,Utility gas,9,Owned with mortgage or loan,560000,2000 to 2004,1 or more,none
10508,1,1,House on one to less than ten acres,3,Mobile home or trailer,190,2,3,Electricity,6,Owned with mortgage or loan,180000,1990 to 1999,none,none
10822,6,1,House on less than one acre,5,One-family house detached,130,2,120,Utility gas,9,Owned with mortgage or loan,290000,1970 to 1979,1 or more,none
11101,2,1,House on less than one acre,2,One-family house detached,140,2,3,Electricity,5,Owned with mortgage or loan,160000,1950 to 1959,none,none
11179,2,1,House on one to less than ten acres,3,One-family house detached,70,2,70,Utility gas,6,Rented,NA,1970 to 1979,none,none
11291,3,1,House on less than one acre,1,One-family house detached,90,2,50,Utility gas,2,Owned with mortgage or loan,80000,1950 to 1959,1 or more,none
11348,6,1,House on ten or more acres,3,One-family house detached,160,800,3,Wood,5,Rented,NA,1980 to 1989,1 or more,none
11412,5,1,House on less than one acre,3,One-family house attached,100,2,70,Utility gas,5,Rented,NA,2009,1 or more,none
11486,2,1,House on less than one acre,1,One-family house attached,130,2,100,Utility gas,2,Owned free and clear,100000,1980 to 1989,none,none
11524,4,1,House on less than one acre,3,One-family house detached,320,2,3,Electricity,8,Owned with mortgage or loan,118000,1970 to 1979,1 or more,none
11531,2,1,House on less than one acre,2,One-family house detached,90,2,100,Electricity,8,Owned free and clear,225000,1970 to 1979,none,1 or more
11561,5,1,House on less than one acre,4,One-family house detached,90,2,30,Electricity,6,Owned with mortgage or loan,425000,2000 to 2004,1 or more,none
11600,2,1,House on less than one acre,3,One-family house detached,60,2,80,Electricity,5,Rented,NA,2000 to 2004,1 or more,none
11693,2,1,House on less than one acre,4,One-family house detached,80,2,50,Utility gas,10,Owned free and clear,1000000,1960 to 1969,none,1 or more
11710,2,1,House on less than one acre,4,One-family house detached,110,2,70,Utility gas,7,Owned with mortgage or loan,350000,1939 or earlier,none,none
11834,4,1,House on less than one acre,4,One-family house detached,120,1300,3,Electricity,5,Owned free and clear,140000,1970 to 1979,1 or more,none
11844,3,1,House on one to less than ten acres,4,One-family house detached,360,2,40,Electricity,8,Owned with mortgage or loan,400000,2000 to 2004,1 or more,1 or more
11944,2,1,House on less than one acre,2,One-family house detached,50,2,3,Electricity,4,Rented,NA,1940 to 1949,none,1 or more
11962,2,1,House on one to less than ten acres,1,One-family house detached,90,2,40,"Bottled, tank, or LP gas",4,Owned with mortgage or loan,350000,1939 or earlier,none,1 or more
12004,1,1,House on one to less than ten acres,3,Mobile home or trailer,40,2,3,Wood,4,Owned free and clear,150000,1990 to 1999,none,none
12074,1,1,House on less than one acre,0,One-family house detached,30,2,3,Electricity,1,Rented,NA,1970 to 1979,none,none
12115,2,1,House on less than one acre,3,One-family house detached,120,2,3,Electricity,9,Owned with mortgage or loan,190000,1970 to 1979,none,1 or more
12327,3,1,House on less than one acre,3,One-family house detached,50,2,50,Utility gas,7,Owned free and clear,330000,1939 or earlier,none,none
12359,3,1,NA,3,2 Apartments,140,2,3,Electricity,8,Owned with mortgage or loan,350000,1939 or earlier,none,1 or more
12375,1,1,House on less than one acre,2,One-family house detached,90,2,40,Utility gas,4,Owned with mortgage or loan,180000,1950 to 1959,none,none
12451,2,1,House on one to less than ten acres,3,One-family house detached,200,2,150,"Bottled, tank, or LP gas",7,Owned with mortgage or loan,600000,2005,none,1 or more
12488,4,1,House on less than one acre,4,One-family house detached,90,2,60,Utility gas,6,Owned with mortgage or loan,420000,1970 to 1979,1 or more,none
12532,1,1,House on less than one acre,4,One-family house detached,80,2,3,Electricity,6,Owned free and clear,250000,1960 to 1969,none,1 or more
12732,3,1,House on one to less than ten acres,2,One-family house attached,80,2,3,Electricity,3,Rented,NA,1980 to 1989,1 or more,none
12740,3,1,House on ten or more acres,2,One-family house detached,130,300,50,"Bottled, tank, or LP gas",4,Owned with mortgage or loan,600000,2000 to 2004,none,1 or more
12802,4,1,House on less than one acre,2,One-family house detached,60,2,40,Utility gas,4,Rented,NA,1939 or earlier,1 or more,none
12887,2,1,House on one to less than ten acres,3,One-family house detached,200,2,70,Electricity,8,Owned with mortgage or loan,450000,2000 to 2004,none,1 or more
13000,2,1,House on less than one acre,2,One-family house attached,70,2,4,Utility gas,5,Rented,NA,1940 to 1949,none,none
13362,3,1,House on one to less than ten acres,4,One-family house detached,330,2,140,Utility gas,11,Owned with mortgage or loan,350000,1939 or earlier,1 or more,none
13409,6,1,House on one to less than ten acres,4,Mobile home or trailer,130,2,3,Electricity,6,Owned with mortgage or loan,150000,1990 to 1999,1 or more,none
13502,3,1,House on less than one acre,3,One-family house detached,130,2,40,Utility gas,7,Owned with mortgage or loan,270000,1960 to 1969,1 or more,none
13546,2,1,House on less than one acre,2,One-family house detached,160,2,3,Wood,3,Rented,NA,1970 to 1979,none,none
13670,1,1,House on less than one acre,2,One-family house detached,50,2,60,Utility gas,5,Rented,NA,1970 to 1979,none,1 or more
13763,1,1,House on less than one acre,3,Mobile home or trailer,70,2,3,Electricity,6,Owned free and clear,50000,1980 to 1989,none,1 or more
13773,4,1,House on ten or more acres,3,One-family house detached,80,2,3,Wood,6,Owned free and clear,57000,1950 to 1959,none,none
13875,2,1,House on one to less than ten acres,3,One-family house detached,120,2,3,Electricity,7,Owned with mortgage or loan,300000,1980 to 1989,none,1 or more
13943,2,1,House on less than one acre,3,One-family house detached,150,400,3,Electricity,5,Rented,NA,1970 to 1979,none,1 or more
13967,1,1,House on less than one acre,2,One-family house detached,120,2,3,Electricity,6,Owned free and clear,129000,1939 or earlier,none,1 or more
13980,2,1,House on less than one acre,3,Mobile home or trailer,100,600,3,Wood,5,Owned with mortgage or loan,85000,1990 to 1999,none,none
14085,2,1,House on less than one acre,3,One-family house detached,60,2,30,Utility gas,5,Owned free and clear,200000,1950 to 1959,none,1 or more
14301,4,1,House on ten or more acres,2,One-family house detached,130,2,3,Electricity,4,Rented,NA,1960 to 1969,1 or more,none
14361,1,1,House on less than one acre,3,One-family house detached,60,2,70,Utility gas,6,Owned free and clear,250000,2008,none,1 or more
14370,2,1,NA,2,3-4 Apartments,50,2,3,Electricity,3,Rented,NA,1980 to 1989,none,none
14483,1,1,House on one to less than ten acres,2,Mobile home or trailer,150,2,3,Electricity,4,Owned with mortgage or loan,200000,1990 to 1999,none,1 or more
14509,1,1,House on less than one acre,3,One-family house detached,30,160,30,Utility gas,6,Owned with mortgage or loan,140000,1960 to 1969,none,1 or more
14644,2,1,House on ten or more acres,2,Mobile home or trailer,200,2,3,Electricity,3,Owned with mortgage or loan,240000,1990 to 1999,none,1 or more
14841,3,1,NA,0,50 or more apartments,100,2,3,Electricity,2,Rented,NA,1939 or earlier,1 or more,none
15001,2,1,House on ten or more acres,5,One-family house detached,180,2,3,Wood,7,Owned free and clear,2476000,1939 or earlier,none,1 or more
15338,5,1,House on less than one acre,3,One-family house attached,70,2,30,"Bottled, tank, or LP gas",6,Rented,NA,1940 to 1949,1 or more,none
15575,3,1,House on less than one acre,2,Mobile home or trailer,110,2,3,Electricity,4,Owned free and clear,10000,1990 to 1999,none,1 or more
15660,4,1,House on less than one acre,2,One-family house detached,160,2,3,Electricity,4,Rented,NA,1980 to 1989,1 or more,none
15691,5,1,House on less than one acre,3,One-family house detached,100,900,3,Wood,5,Owned with mortgage or loan,125000,1939 or earlier,1 or more,none
15714,4,1,House on less than one acre,3,One-family house detached,10,2,3,Electricity,4,Owned with mortgage or loan,250000,1950 to 1959,1 or more,none
15780,2,1,House on less than one acre,2,One-family house attached,50,2,70,Utility gas,4,Rented,NA,1980 to 1989,none,none
15851,1,1,House on less than one acre,1,Mobile home or trailer,70,2,20,"Bottled, tank, or LP gas",2,Owned free and clear,2500,1990 to 1999,none,none
15852,4,1,House on one to less than ten acres,4,One-family house detached,160,250,3,Electricity,8,Owned with mortgage or loan,315000,1960 to 1969,none,1 or more
15908,2,1,House on less than one acre,4,One-family house detached,120,2,20,Utility gas,6,Rented,NA,1939 or earlier,none,none
15933,2,1,House on less than one acre,1,One-family house detached,70,800,3,Wood,5,Owned with mortgage or loan,155000,1950 to 1959,none,1 or more
16237,2,1,House on less than one acre,3,One-family house detached,100,2,140,Utility gas,8,Owned with mortgage or loan,260000,1970 to 1979,none,1 or more
16334,1,1,House on less than one acre,3,Mobile home or trailer,90,2,3,Electricity,5,Owned free and clear,4000,1970 to 1979,none,1 or more
16336,1,1,NA,0,20-49 Apartments,70,2,3,Electricity,1,Rented,NA,1990 to 1999,none,none
16414,2,1,NA,2,5-9 Apartments,50,2,3,"Bottled, tank, or LP gas",3,Owned free and clear,260000,2007,none,none
16422,1,1,NA,2,50 or more apartments,50,2,3,Electricity,4,Owned with mortgage or loan,140000,1970 to 1979,none,1 or more
16463,3,1,House on ten or more acres,5,Mobile home or trailer,400,2,3,Electricity,12,Owned with mortgage or loan,240000,2000 to 2004,1 or more,1 or more
16473,5,1,House on less than one acre,3,One-family house detached,200,2,70,Utility gas,6,Rented,NA,2000 to 2004,1 or more,none
16501,4,1,House on less than one acre,3,One-family house detached,40,2,30,Utility gas,6,Owned with mortgage or loan,239000,2007,1 or more,none
16723,2,1,House on less than one acre,2,One-family house detached,100,140,20,Utility gas,6,Owned with mortgage or loan,160000,1950 to 1959,none,none
16824,3,1,House on ten or more acres,3,One-family house detached,100,2,20,Utility gas,4,Owned with mortgage or loan,850000,2005,1 or more,none
16851,2,1,House on less than one acre,1,One-family house detached,130,2,50,"Bottled, tank, or LP gas",3,Owned with mortgage or loan,300000,1940 to 1949,none,1 or more
17094,1,1,House on ten or more acres,2,One-family house detached,40,500,3,Wood,8,Owned free and clear,1000000,1990 to 1999,none,1 or more
17229,4,1,House on less than one acre,4,One-family house detached,140,2,3,Electricity,7,Owned with mortgage or loan,220000,1990 to 1999,none,none
17269,1,1,NA,1,10-19 Apartments,70,2,3,Electricity,2,Occupied without payment of rent,NA,2005,none,none
17331,4,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,8,Rented,NA,1970 to 1979,1 or more,none
17359,1,1,House on less than one acre,2,One-family house detached,200,2,3,Electricity,4,Owned with mortgage or loan,200000,1970 to 1979,none,none
17406,5,1,House on less than one acre,3,One-family house detached,100,2,60,Electricity,7,Owned with mortgage or loan,204000,1980 to 1989,1 or more,none
17431,4,1,House on less than one acre,3,Mobile home or trailer,80,2,3,Electricity,4,Rented,NA,1990 to 1999,1 or more,none
17513,2,1,NA,1,5-9 Apartments,40,2,3,Electricity,3,Rented,NA,1970 to 1979,none,none
17570,2,1,House on less than one acre,3,One-family house detached,70,2,100,Utility gas,4,Owned with mortgage or loan,140000,1980 to 1989,none,none
17672,2,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,5,Owned with mortgage or loan,175000,1960 to 1969,none,none
17674,2,1,House on less than one acre,3,One-family house detached,80,250,3,Wood,6,Owned with mortgage or loan,220000,1940 to 1949,none,none
17766,2,1,House on less than one acre,3,One-family house detached,160,2,20,Electricity,8,Owned free and clear,200000,1970 to 1979,none,1 or more
17843,4,1,House on less than one acre,3,One-family house detached,70,2,110,Utility gas,5,Owned with mortgage or loan,215000,2000 to 2004,1 or more,none
17977,1,1,House on less than one acre,2,One-family house detached,50,2,3,Electricity,6,Owned with mortgage or loan,140000,2000 to 2004,none,1 or more
18101,2,1,House on ten or more acres,4,One-family house detached,120,370,3,"Fuel oil, kerosene, etc.",6,Owned with mortgage or loan,450000,1939 or earlier,none,none
18225,1,1,NA,2,3-4 Apartments,110,2,3,Utility gas,5,Rented,NA,1960 to 1969,none,1 or more
18260,4,1,House on less than one acre,3,Mobile home or trailer,200,2,3,Electricity,4,Owned free and clear,75000,1990 to 1999,none,none
18654,4,1,House on less than one acre,4,One-family house detached,90,2,120,Utility gas,7,Rented,NA,1970 to 1979,1 or more,none
18660,5,1,House on less than one acre,3,One-family house detached,120,2,50,Utility gas,6,Owned with mortgage or loan,200000,2000 to 2004,1 or more,none
18700,1,1,House on less than one acre,3,One-family house detached,120,2,3,Electricity,6,Owned with mortgage or loan,350000,1970 to 1979,none,1 or more
18809,2,1,House on less than one acre,3,One-family house detached,60,2,60,Utility gas,8,Owned with mortgage or loan,240000,2006,none,none
